Evento,Detalhes,Tempo
Caminho do mouse,"(777, 90)",0.15053677558898926
Caminho do mouse,"(750, 98)",0.1505422592163086
Caminho do mouse,"(730, 103)",0.1505436897277832
Caminho do mouse,"(704, 111)",0.1505444049835205
Caminho do mouse,"(693, 115)",0.15742850303649902
Caminho do mouse,"(681, 120)",0.16273069381713867
Caminho do mouse,"(668, 125)",0.17046260833740234
Caminho do mouse,"(660, 127)",0.17556977272033691
Caminho do mouse,"(655, 131)",0.18477964401245117
Caminho do mouse,"(649, 134)",0.1901230812072754
Caminho do mouse,"(648, 135)",0.19700241088867188
Caminho do mouse,"(640, 141)",0.5233616828918457
Caminho do mouse,"(623, 153)",0.5301456451416016
Caminho do mouse,"(606, 165)",0.5388777256011963
Caminho do mouse,"(590, 173)",0.5444467067718506
Caminho do mouse,"(570, 184)",0.5510952472686768
Caminho do mouse,"(545, 194)",0.55845046043396
Caminho do mouse,"(534, 201)",0.567075252532959
Caminho do mouse,"(516, 214)",0.5716390609741211
Caminho do mouse,"(500, 226)",0.5792174339294434
Caminho do mouse,"(490, 236)",0.5910451412200928
Caminho do mouse,"(479, 244)",0.5939033031463623
Caminho do mouse,"(473, 252)",0.6072196960449219
Caminho do mouse,"(467, 257)",0.6072218418121338
Caminho do mouse,"(462, 264)",0.6162419319152832
Caminho do mouse,"(459, 267)",0.6217598915100098
Caminho do mouse,"(458, 269)",0.6325767040252686
Caminho do mouse,"(457, 270)",0.6361227035522461
Caminho do mouse,"(456, 271)",0.6455192565917969
Caminho do mouse,"(455, 272)",0.6512525081634521
Caminho do mouse,"(455, 273)",0.6693069934844971
Caminho do mouse,"(455, 274)",0.6693093776702881
Caminho do mouse,"(454, 274)",0.6982231140136719
Caminho do mouse,"(453, 274)",0.7375481128692627
Caminho do mouse,"(452, 274)",0.7470555305480957
Caminho do mouse,"(451, 274)",0.7636842727661133
Caminho do mouse,"(450, 274)",0.7700843811035156
Caminho do mouse,"(447, 275)",0.7748317718505859
Caminho do mouse,"(444, 277)",0.7818152904510498
Caminho do mouse,"(440, 279)",0.7884128093719482
Caminho do mouse,"(436, 280)",0.7997467517852783
Caminho do mouse,"(432, 282)",0.8023157119750977
Caminho do mouse,"(426, 283)",0.8138267993927002
Caminho do mouse,"(421, 284)",0.8211133480072021
Caminho do mouse,"(416, 285)",0.8246803283691406
Caminho do mouse,"(412, 286)",0.8315553665161133
Caminho do mouse,"(407, 286)",0.8389720916748047
Caminho do mouse,"(404, 287)",0.8489527702331543
Caminho do mouse,"(401, 287)",0.8546721935272217
Caminho do mouse,"(397, 287)",0.861668586730957
Caminho do mouse,"(396, 287)",0.8693289756774902
Caminho do mouse,"(395, 287)",0.8745424747467041
Caminho do mouse,"(394, 287)",0.8817389011383057
Caminho do mouse,"(393, 287)",0.8899397850036621
Caminho do mouse,"(392, 287)",0.8983983993530273
Caminho do mouse,"(391, 287)",0.9040622711181641
Caminho do mouse,"(391, 288)",1.0714826583862305
Caminho do mouse,"(391, 289)",1.077784776687622
Caminho do mouse,"(391, 290)",1.0916848182678223
Caminho do mouse,"(391, 291)",1.1003363132476807
Caminho do mouse,"(391, 292)",1.108323335647583
Caminho do mouse,"(391, 293)",1.1128902435302734
Caminho do mouse,"(391, 294)",1.1223461627960205
Caminho do mouse,"(391, 295)",1.1273369789123535
Caminho do mouse,"(390, 295)",1.1331424713134766
Caminho do mouse,"(390, 296)",1.1636505126953125
Caminho do mouse,"(389, 296)",1.1704037189483643
Caminho do mouse,"(388, 296)",1.2062630653381348
Caminho do mouse,"(387, 296)",1.235917329788208
Caminho do mouse,"(386, 296)",1.2947664260864258
Caminho do mouse,"(385, 296)",1.315812110900879
Caminho do mouse,"(385, 297)",1.3437252044677734
Caminho do mouse,"(384, 297)",1.3503646850585938
Caminho do mouse,"(383, 297)",1.3736629486083984
Caminho do mouse,"(383, 298)",1.3865513801574707
Caminho do mouse,"(382, 299)",1.4010570049285889
Caminho do mouse,"(381, 300)",1.4103548526763916
Caminho do mouse,"(380, 301)",1.414839744567871
Caminho do mouse,"(380, 302)",1.4225237369537354
Caminho do mouse,"(380, 303)",1.4475514888763428
Caminho do mouse,"(379, 304)",1.4509780406951904
Caminho do mouse,"(378, 306)",1.4576022624969482
Caminho do mouse,"(378, 307)",1.4667646884918213
Caminho do mouse,"(378, 308)",1.4728484153747559
Caminho do mouse,"(377, 309)",1.4820432662963867
Caminho do mouse,"(377, 310)",1.494067907333374
Caminho do mouse,"(377, 311)",1.5314993858337402
Caminho do mouse,"(377, 310)",1.662440538406372
Caminho do mouse,"(377, 309)",1.6661341190338135
Caminho do mouse,"(377, 307)",1.6833176612854004
Caminho do mouse,"(377, 306)",1.7031033039093018
Caminho do mouse,"(377, 305)",1.718261480331421
Caminho do mouse,"(377, 304)",1.7332966327667236
