Timestamp,Modo,Vertices_P1,Vertices_O_Max,Pontos_Soma_Gerados,Tempo_Minkowski_ms
2025-10-25 10:38:18,1,5,7,85,0.4713
2025-10-25 10:38:30,1,5,7,85,0.6247
2025-10-25 10:38:55,2,3,5,42,0.6221
2025-10-25 10:39:39,2,3,5,36,0.5662
2025-10-25 10:40:22,2,5,6,75,0.5889
2025-10-25 10:40:45,2,5,5,60,0.3999
2025-10-25 10:41:18,1,5,7,85,0.5091
2025-10-25 10:41:21,1,5,7,85,2.2359
2025-10-25 10:41:22,1,5,7,85,1.3045
2025-10-25 10:41:23,1,5,7,85,0.9470
2025-10-25 10:41:24,1,5,7,85,1.3145
2025-10-25 10:41:25,1,5,7,85,1.3258
2025-10-25 10:41:30,1,5,7,85,0.5345
2025-10-25 10:41:35,1,5,7,85,0.4833
2025-10-25 10:41:40,1,5,7,85,0.7241
2025-10-25 10:41:54,2,3,3,27,0.3711
